"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2020-09-25","95.2","-2.74","5.87","Marte, Ketel",606466,622608,"field_out","hit_into_play",,,,,8,"Ketel Marte grounds out to first baseman Josh Fuentes.   Daulton Varsho to 2nd.","R","L","R","ARI","COL","X",3,"ground_ball",3,2,2020,"-0.52","0.98","-0.26","2",,,662139,0,1,"Bot",151.95,170.81,,,553869,,,7.6520414135779,-138.31849347080782,-6.681650128679914,-8.464370556200606,31.552832029172322,-18.226581034132163,"3.64","1.73",3,"93.5",-39,"94.9",2159,"6.3",630270,622608,553869,658069,641658,641857,596115,606132,607680,453568,"54.24",0.067,0.06,"0",1,0,0,2,6,9,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",206,"-0.018","-0.662"
"CH","2020-09-08","86.4","-3.68","5.81","Marte, Ketel",606466,571670,"force_out","hit_into_play",,,,,7,"Ketel Marte grounds into a force out, first baseman Max Muncy to second baseman Gavin Lux.   Josh Rojas out at 2nd.    Ketel Marte to 1st.","R","L","R","ARI","LAD","X",3,"ground_ball",3,2,2020,"-1.5","0.32","-0.8","1.68",,,668942,1,5,"Bot",146.26,170.25,,,605131,,,9.894391022967048,-125.46198715000406,-4.237510750275423,-17.83535148790274,25.569698314145725,-28.083138215330784,"3.41","1.56",3,"82.9",-31,"86.2",1923,"6.3",630220,571670,605131,571970,666158,621458,608369,621035,641355,605141,"54.18",0.033,0.03,"0",1,0,0,2,47,7,"Changeup",5,2,5,2,2,5,5,2,"Infield shift","Standard",251,"-0.011","-0.397"
"FC","2020-09-08","95.7","-2.84","6.44","Marte, Ketel",606466,595014,"field_out","hit_into_play",,,,,2,"Ketel Marte grounds out, pitcher Blake Treinen to first baseman Max Muncy.","R","L","R","ARI","LAD","X",1,"ground_ball",0,1,2020,"0.14","0.78","0.16","3.29",,,,2,7,"Bot",125.95,173.21,,,605131,,,7.512369111713289,-139.2207315665709,-4.453685400596111,0.2773850958972451,28.507773813465807,-21.223310747695223,"3.41","1.56",10,"65.3",-17,"95",2598,"5.7",630220,595014,605131,571970,666158,621458,608369,621035,641355,605141,"54.82",0.073,0.068,"0",1,0,0,2,67,2,"Cutter",6,6,6,6,6,6,6,6,"Infield shift","Standard",223,"-0.02","-0.095"
"FF","2020-09-08","99.5","-0.87","5.95","Marte, Ketel",606466,621111,"field_out","hit_into_play",,,,,9,"Ketel Marte grounds out sharply, first baseman Max Muncy to pitcher Walker Buehler.","R","L","R","ARI","LAD","X",3,"ground_ball",2,2,2020,"-0.61","1.48","0.4","1.55",,,,1,1,"Bot",173.89,156.72,,,605131,,,4.943845226147158,-144.5271665002336,-10.102085698595008,-9.776338117208153,35.05064454960027,-9.199094644494606,"3.41","1.56",3,"102.6",-27,"99.3",2541,"6.3",630220,621111,605131,571970,666158,621458,608369,621035,641355,605141,"54.15",0.133,0.12,"0",1,0,0,2,7,5,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Infield shift","Standard",195,"-0.016","-0.148"
"FC","2020-09-08","92.1","-1.54","6.42","Marte, Ketel",606466,445276,"field_out","hit_into_play",,,,,11,"Ketel Marte grounds out, first baseman Max Muncy to pitcher Kenley Jansen.   Josh Rojas to 3rd.","R","L","R","ARI","LAD","X",3,"ground_ball",0,1,2020,"0.13","1.45","-0.49","3.73",,668942,,0,10,"Bot",148.48,157.79,,,605131,,,2.437928270112275,-134.02708964650526,-4.140569262938015,0.9285605692234398,32.5292484107016,-14.079454938297363,"3.41","1.56",4,"61.9",-46,"93.5",2101,"7.4",630220,445276,605131,571970,666158,621458,608369,621035,641355,605141,"53.09",0.14,0.126,"0",1,0,0,2,93,2,"Cutter",6,10,6,10,10,6,6,10,"Infield shift","Standard",176,"-0.021","-0.204"
"FS","2020-09-07","84.7","-2.88","5.84","Marte, Ketel",606466,592332,"field_out","hit_into_play",,,,,14,"Ketel Marte flies out to right fielder Mike Yastrzemski.","R","L","R","SF","ARI","X",9,"fly_ball",1,2,2020,"-1.07","0.35","0.3","1.47",,,,2,5,"Top",153.86,103.61,,,663698,,,9.571930379820616,-123.1605369938773,-4.68152822930782,-12.559761159347557,18.663121337572413,-27.99400434758875,"3.63","1.73",237,"76.4",41,"85.5",1699,"6.4",631006,592332,663698,474832,456781,467055,543063,573131,643289,573262,"54.15",0.087,0.088,"0",1,0,0,3,33,4,"Split-Finger",0,1,1,0,1,0,1,0,"Infield shift","Standard",181,"0.011","-0.079"
"FS","2020-09-07","84.7","-2.86","5.76","Marte, Ketel",606466,592332,"force_out","hit_into_play",,,,,13,"Ketel Marte grounds into a force out, fielded by shortstop Brandon Crawford.   Daulton Varsho scores.    Carson Kelly to 3rd.    Josh Rojas out at 2nd.    Ketel Marte to 1st.","R","L","R","SF","ARI","X",6,"ground_ball",1,2,2020,"-1.05","0.29","-0.92","1.55",662139,608348,668942,1,3,"Top",123.46,146.42,,,663698,,,6.635120549790074,-123.27470005505269,-4.200255428838582,-11.904514038515389,19.356630459824448,-28.70060282658471,"3.63","1.73",2,"70.2",-34,"85.6",1597,"6.4",631006,592332,663698,474832,456781,467055,543063,543105,643289,573262,"54.08",0.067,0.06,"0",1,0,0,2,18,4,"Split-Finger",0,0,0,0,1,0,1,0,"Standard","Standard",241,"-0.007","-0.635"
"FF","2020-09-07","91.9","2.19","5.81","Marte, Ketel",606466,572125,"field_out","hit_into_play",,,,,8,"Ketel Marte grounds out, shortstop Brandon Crawford to first baseman Brandon Belt.","R","R","L","SF","ARI","X",6,"ground_ball",1,0,2020,"-0.12","1.12","-0.19","2.26",,,,1,8,"Top",116.36,155.23,,,663698,,,-5.824272839006459,-133.8819167669804,-5.685054630363146,-0.3659661256288001,24.320694498104118,-17.70126336724355,"3.63","1.73",3,"82.1",-37,"92.9",2290,"6.5",631006,572125,663698,474832,456781,621002,543063,573131,643289,573262,"54.03",0.067,0.07,"0",1,0,0,2,57,2,"4-Seam Fastball",4,1,1,4,1,4,1,4,"Standard","Standard",160,"0.013","-0.195"
"FS","2020-09-07","83.5","-2.9","5.9","Marte, Ketel",606466,592332,"field_out","hit_into_play",,,,,13,"Ketel Marte grounds out softly to first baseman Brandon Belt.","R","L","R","SF","ARI","X",3,"ground_ball",2,2,2020,"-1.11","0.22","-1.05","1.41",,,,1,1,"Top",143.05,182.5,,,663698,,,6.408020403132204,-121.49257431838646,-4.412915109599674,-12.137579705466433,19.60976549041874,-29.429820267158618,"3.63","1.73",1,"54.4",-47,"83.9",1718,"6.2",631006,592332,663698,474832,456781,467055,543063,543105,643289,573262,"54.34",0.2,0.182,"0",1,0,0,1,2,5,"Split-Finger",0,0,0,0,0,0,0,0,"Infield shift","Standard",245,"0.015","-0.148"
"CH","2020-09-05","82.1","-2.36","6.28","Marte, Ketel",606466,502239,"field_out","hit_into_play",,,,,4,"Ketel Marte pops out to first baseman Brandon Belt.","R","L","R","SF","ARI","X",3,"popup",0,1,2020,"-1.06","0.09","-0.37","2.99",,,608348,1,3,"Top",134.1,171.78,,,663698,,,6.512203476788401,-119.47705188222957,-1.1643532443566742,-11.314675664297733,19.76214615381507,-31.300137515910343,"3.64","1.73",75,"75.2",73,"82.2",1530,"6",631004,502239,663698,474832,527038,446334,621002,573131,643289,573262,"54.47",0,0,"0",1,0,0,3,19,2,"Changeup",2,1,1,2,1,2,1,2,"Infield shift","Standard",243,"0.033","-0.257"
