LAST_NAME,ROSTER_FIRST_NAME,BAM_ID
Mountcastle,Ryan,663624
Singer,Brady,663903
Shoemaker,Matthew,533167
Sborz,Josh,622250
Tate,Dillon,622253
White,Eli,642201
Dunning,Dane,641540
Moore,Dylan,664238
Guerrero,Vladimir,665489
Rojas,Joshua,668942
Garcia,Adolis,666969
Young,Andrew,670370
Lopez,Nicky,670032
Peralta,David,444482
Crochet,Garrett,676979
Panik,Joe,605412
Bumgarner,Madison,518516
Stassi,Max,545358
Hicks,Aaron,543305
Garrett,Amir,607237
Margot,Manuel,622534
Ruiz,Jose,614179
Nunez,Dom,624513
Plawecki,Kevin,608700
Scrubb,Andre,668687
Trammell,Taylor,666211
Zuber,Tyler,676604
Rojas,Jose,670351
Whitlock,Garrett,676477
Marcano,Tucupita,672779
Perez,Cionel,672335
Dobnak,Randy,677976
Melancon,Mark,453343
Upton,Justin,457708
Lowrie,Jed,476704
Phelps,David,475479
Stammen,Craig,489334
Chatwood,Tyler,543022
Strickland,Hunter,519326
Eovaldi,Nathan,543135
Zunino,Mike,572287
Selman,Sam,572125
Graveman,Kendall,608665
Thielbar,Caleb,573204
Gray,Jonathan,592351
Moran,Colin,592567
Rodriguez,Richard,593144
Rowen,Benjamin,594985
Treinen,Blake,595014
Schebler,Scott,594988
Bukauskas,J.B.,656266
Soler,Jorge,624585
Smeltzer,Devin,656970
VanMeter,Josh,642165
Ryu,Hyun-Jin,547943
Weaver,Luke,596133
Neuse,Sheldon,641914
Buehler,Walker,621111
Beaty,Matthew,607461
Cody,Kyle,621129
Trevino,Jose,624431
Cronenworth,Jake,630105
Fuentes,Josh,658069
Brown,Seth,664913
Solak,Nick,669256
Morejon,Adrian,670970
Raley,Luke,670042
Hendriks,Liam,521230
Arraez,Luis,650333
Fleming,Josh,676596
Moustakas,Mike,519058
Galvis,Freddy,520471
Perez,Salvador,521692
Cron,C.J.,543068
Polanco,Gregory,570256
Gonzalez,Erik,570481
Taylor,Michael,572191
Kela,Keone,605309
Hernandez,Teoscar,606192
Cruz,Nelson,443558
Votto,Joey,458015
Dolis,Rafael,503569
Vogt,Stephen,519390
Lamb,Jake,571875
Naquin,Tyler,571980
Perez,Michael,605421
Giolito,Lucas,608337
Betts,Mookie,605141
Moronta,Reyes,606625
Seager,Corey,608369
Lopez,Jorge,605347
Knebel,Corey,608349
Wade,Tyler,642180
Kiner-Falefa,Isiah,643396
Middleton,Keynan,641871
Chapman,Matt,656305
Yardley,Eric,642233
Martin,Brett,656685
Dalbec,Bobby,666915
Hays,Austin,669720
Newsome,Ljay,664714
Campusano-Bracero,Luis,669134
Wells,Tyler,669330
Peacock,Matt,676840
Petit,Yusmeiro,433589
Frazier,Todd,453943
Barnes,Matt,598264
McHugh,Collin,543521
Roark,Tanner,543699
Pollock IV,A.J.,572041
Foltynewicz,Mike,592314
Sanchez,Gary,596142
Profar,Jurickson,595777
Kepler-Rozycki,Max,596146
Ahmed,Nick,605113
Valaika,Patrick,642162
Kemp,Anthony,643393
Iglesias,Jose,578428
Merrifield,Whit,593160
Simmons,Andrelton,592743
Santana,Dennis,642701
Mateo,Jorge,622761
Phillips,Brett,621433
Mejia,Francisco,642336
Bemboom,Anthony,621532
McMahon,Ryan,641857
Gonzalez,Victor,624647
Rasmussen,Drew,656876
White,Evan,657108
Mullins II,Cedric,656775
Padlo,Kevin,656821
Arozarena,Randy,668227
Taylor,Josh,657031
Biggio,Cavan,624415
Sheffield,Jordan,642068
Hearn,Taylor,621368
Darvish,Yu,506433
Palacios,Joshua,641943
Calhoun,Willie,641432
Sawamura,Hirokazu,617228
Haggerty,Sam,664059
Robert,Luis,673357
Tejeda,Anderson,660731
Kirilloff,Alex,666135
McClanahan,Shane,663556
Tatis,Fernando,665487
Espinal,Santiago,669289
Santana,Carlos,467793
Richards,Trevor,670950
