"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
694,503449,"Peralta, Wily",694,100,0.241,0.085,0.294,0.326,0.309,0.315,0.234,34,141,88.3,11.2,1861,89.2,88.34,62,293,401,-0.9000000000000057,5.75,106,155,117,149,305,329,293
694,664139,"Gibaut, Ian",694,100,0.277,0.163,0.4,0.44,0.354,0.282,0.212,39,141,86.6,14.9,2299,91.4,90.3,81,310,384,-1.1000000000000085,6.87,110,149,119,145,292,319,291
693,598264,"Barnes, Matt",693,100,0.24,0.093,0.296,0.333,0.305,0.32,0.229,36,150,90.7,10.4,2142,89.3,89.9,85,299,394,0.6000000000000085,6.77,113,155,119,149,291,328,296
692,675921,"Howard, Spencer",692,100,0.309,0.309,0.319,0.617,0.416,0.358,0.275,50,162,91.1,13.4,2104,88.3,88.4,58,330,362,0.10000000000000853,6.45,114,156,118,149,303,323,297
691,650671,"Quijada, José",691,100,0.172,0.179,0.225,0.352,0.275,0.265,0.168,25,145,88.1,22.1,2159,93.2,93.54,114,353,338,0.29999999999999716,6.59,112,152,115,151,295,322,292
690,665871,"Assad, Javier",690,100,0.24,0.13,0.277,0.37,0.314,0.327,0.255,35,146,87.5,17.8,2096,89.1,89.57,74,319,371,0.5,6.57,109,152,115,152,301,322,292
687,621016,"Cuas, Jose",687,100,0.264,0.108,0.327,0.372,0.34,0.322,0.241,39,148,85.4,4.7,2528,88.9,88.84,76,300,387,-0.10000000000000853,6.4,108,155,116,147,301,322,297
684,661269,"Gutierrez, Vladimir",684,100,0.313,0.299,0.339,0.612,0.437,0.364,0.259,46,147,88.8,18.2,2209,87.1,87.19,52,289,395,0.10000000000000853,6.41,116,152,119,147,293,319,294
679,657044,"Thompson, Ryan",679,100,0.234,0.126,0.282,0.359,0.282,0.273,0.23,39,167,87,6.4,2050,85.9,85.87,76,318,361,0,6.63,107,152,112,147,302,324,295
679,547973,"Chapman, Aroldis",679,100,0.188,0.133,0.241,0.32,0.301,0.326,0.213,24,128,87.5,16.6,2118,93.3,94.69,95,281,398,1.4000000000000057,7.18,111,153,120,149,295,326,288
678,644364,"Arano, Víctor",678,100,0.278,0.13,0.347,0.408,0.329,0.296,0.234,47,169,85.5,5.8,2319,89.7,89.54,99,342,336,-0.20000000000000284,6.21,111,153,123,143,297,315,293
675,660813,"Graterol, Brusdar",675,100,0.215,0.105,0.261,0.32,0.256,0.246,0.207,39,181,85.5,-0.7,2222,96.8,96.2,81,384,291,-0.5999999999999943,5.85,114,152,120,150,298,317,293
674,621389,"Blach, Ty",674,100,0.291,0.171,0.322,0.463,0.338,0.313,0.274,51,175,86.7,13.5,2176,87,85.5,67,335,339,-1.5,5.24,111,152,122,147,302,329,301
672,663558,"Moran, Jovani",672,100,0.172,0.055,0.272,0.228,0.229,0.236,0.168,25,145,85,7.5,2048,88.3,88.84,122,314,358,0.5,6.55,113,156,120,150,295,325,290
664,663423,"Thornton, Trent",664,100,0.237,0.16,0.26,0.396,0.309,0.348,0.267,40,169,90.1,19.2,2703,87.1,86.65,62,301,363,-0.3999999999999915,6.08,109,160,125,149,296,319,296
664,641501,"Danish, Tyler",664,100,0.255,0.185,0.28,0.439,0.334,0.378,0.292,40,157,88.9,10.1,2002,85.9,84.31,55,292,372,-1.6000000000000085,5.33,109,156,119,151,290,326,296
662,650911,"Sánchez, Cristopher",662,100,0.244,0.154,0.284,0.397,0.323,0.321,0.243,38,156,87.5,4.6,2003,89.7,90.84,57,299,363,1.0999999999999943,7.08,107,149,115,146,297,324,286
662,676596,"Fleming, Josh",662,100,0.348,0.194,0.402,0.542,0.403,0.323,0.263,54,155,90.4,-3.6,1777,87.2,87.04,74,324,338,-0.20000000000000284,6.42,105,153,114,148,297,322,298
662,656427,"Flaherty, Jack",662,100,0.259,0.165,0.314,0.424,0.358,0.341,0.242,36,139,85.3,9.7,2318,87.9,88.85,74,290,372,0.8999999999999915,6.85,112,149,111,149,298,319,298
661,640451,"Harvey, Hunter",661,100,0.234,0.099,0.323,0.333,0.272,0.26,0.205,33,141,90.4,14.5,1874,95.9,95.46,90,327,334,-0.4000000000000057,6.11,111,155,123,148,298,314,300
657,664161,"Swarmer, Matt",657,100,0.25,0.333,0.247,0.583,0.391,0.361,0.245,33,132,90.7,17.7,2101,85.4,85.41,92,294,363,0,6.22,111,152,117,159,301,325,299
655,605521,"Warren, Art",655,100,0.264,0.179,0.326,0.443,0.356,0.337,0.229,37,140,90.3,17.3,2403,88.8,88.96,86,292,363,0.20000000000000284,6.37,113,151,122,146,291,319,290
653,657649,"Koenig, Jared",653,100,0.26,0.156,0.277,0.416,0.333,0.347,0.271,40,154,90,11.9,2085,84.9,85.18,44,291,362,0.29999999999999716,6.54,109,152,117,149,302,326,297
650,669461,"Liberatore, Matthew",650,100,0.304,0.225,0.346,0.529,0.391,0.357,0.268,42,138,90.3,14.9,2228,87.3,87.28,62,287,363,0,6.37,108,151,116,147,304,324,297
641,606625,"Moronta, Reyes",641,100,0.214,0.157,0.255,0.371,0.301,0.282,0.192,30,140,85.6,21.7,2363,89.8,89.95,77,288,353,0.10000000000000853,6.37,111,154,122,149,299,318,293
634,596071,"Peters, Dillon",634,100,0.241,0.152,0.259,0.393,0.312,0.327,0.253,35,145,88.3,13.5,2185,87.7,87.54,59,293,341,-0.20000000000000284,6.19,108,153,118,149,304,323,301
631,623211,"Brazoban, Huascar",631,100,0.222,0.128,0.311,0.35,0.317,0.296,0.201,26,117,82.5,7.3,2192,91.1,90.07,115,286,345,-1,5.79,105,152,118,148,299,314,289
629,459429,"McGee, Jake",629,100,0.275,0.208,0.294,0.483,0.346,0.347,0.257,41,149,89.8,22,2038,92.8,92.23,64,332,297,-0.5999999999999943,6.04,109,152,117,147,298,318,294
620,670990,"Ramirez, Yohan",620,100,0.23,0.137,0.272,0.367,0.324,0.334,0.245,32,139,85.8,7.8,2280,91.3,92.09,63,265,355,0.7999999999999972,6.95,107,149,115,146,296,320,294
619,642121,"Sulser, Cole",619,100,0.295,0.197,0.375,0.492,0.374,0.342,0.261,39,132,89,12.2,1959,87.5,87.96,95,307,312,0.5,6.73,107,153,120,150,300,318,293
613,664294,"Moreta, Dauri",613,100,0.227,0.27,0.234,0.496,0.341,0.311,0.221,32,141,90.6,22.9,2109,91.8,91.73,75,272,341,-0.09999999999999432,6.25,114,152,124,147,292,319,290
611,641726,"Jefferies, Daulton",611,100,0.286,0.155,0.323,0.441,0.333,0.301,0.25,46,161,88.7,10.8,2018,88.9,88.03,66,291,320,-0.9000000000000057,5.91,112,151,122,144,295,315,296
605,657265,"Strzelecki, Peter",605,100,0.22,0.11,0.295,0.331,0.277,0.287,0.22,28,127,87.1,14.8,2510,88.6,88.74,87,280,325,0.10000000000000853,6.48,110,152,121,146,295,318,296
603,663485,"Sands, Cole",603,100,0.276,0.165,0.326,0.441,0.356,0.325,0.226,35,127,89.3,14.1,2204,86.8,85.38,63,280,323,-1.3999999999999915,5.32,111,157,120,150,296,329,289
596,456034,"Price, David",596,100,0.242,0.178,0.281,0.42,0.301,0.304,0.251,38,157,89.1,6.3,1886,90,89.49,54,290,306,-0.5,5.99,113,154,119,149,298,316,293
593,669459,"Nelson, Kyle",593,100,0.194,0.104,0.243,0.299,0.266,0.311,0.235,26,134,87.1,13.3,2418,87,86.4,74,286,307,-0.5999999999999943,5.92,109,152,120,147,299,320,297
592,661527,"Martinez, Seth",592,100,0.187,0.079,0.235,0.266,0.242,0.26,0.198,26,139,85.9,15.2,2217,87.1,87.88,72,282,310,0.8000000000000114,6.85,113,153,116,148,291,320,291
586,686610,"Waldichuk, Ken",586,100,0.244,0.221,0.287,0.466,0.337,0.33,0.246,32,131,88.7,16.9,2204,88.1,89.05,75,298,288,1,6.99,110,151,116,149,302,324,294
583,659275,"Lamet, Dinelson",583,100,0.242,0.177,0.338,0.419,0.342,0.329,0.226,30,124,89,14.7,2407,90.5,89.93,102,257,326,-0.5999999999999943,5.93,112,154,120,148,301,323,298
583,676092,"Snider, Collin",583,100,0.301,0.143,0.343,0.444,0.363,0.371,0.301,40,133,89,6.3,2547,91.1,90.76,53,253,330,-0.29999999999999716,6.05,106,153,118,146,300,323,299
580,657508,"Baumann, Mike",580,100,0.314,0.131,0.357,0.445,0.353,0.325,0.266,43,137,91.3,8.8,2220,92,91.99,47,287,293,0,6.44,107,153,116,150,300,318,294
580,657571,"Ferguson, Caleb",580,100,0.187,0.089,0.259,0.276,0.265,0.273,0.195,23,123,84.2,14.1,2569,89.4,88.99,74,275,305,-0.4000000000000057,6.11,109,154,117,147,298,314,291
577,641447,"Castano, Daniel",577,100,0.292,0.215,0.311,0.507,0.366,0.337,0.282,42,144,85.7,10.1,2292,85.6,85.15,51,295,282,-0.5,6.05,106,152,116,149,298,312,290
575,668868,"Thompson, Zack",575,100,0.164,0.098,0.185,0.262,0.235,0.3,0.233,20,122,87,5.5,2218,87.6,88.14,47,267,308,0.5,6.68,113,154,120,150,296,319,298
574,668948,"McCarty, Kirk",574,100,0.259,0.259,0.241,0.517,0.356,0.352,0.254,37,143,88.5,15,2345,88.4,88.16,69,291,283,-0.20000000000000284,6.07,105,153,121,148,296,316,291
567,661383,"Ortega, Oliver",567,100,0.25,0.148,0.3,0.398,0.332,0.344,0.263,32,128,89.5,9,2306,90.5,89.65,68,287,280,-0.9000000000000057,5.83,111,151,115,151,295,322,292
566,489119,"Miley, Wade",566,100,0.218,0.113,0.25,0.331,0.281,0.305,0.24,31,142,86.2,9.9,2142,83.8,83.57,64,254,312,-0.20000000000000284,6.12,106,154,115,147,303,322,290
564,656457,"Gilbert, Tyler",564,100,0.25,0.22,0.238,0.47,0.332,0.389,0.302,33,132,88.4,18.4,2086,85.9,85.3,53,275,289,-0.6000000000000085,5.91,109,152,121,147,303,322,297
562,676050,"Naughton, Packy",562,100,0.295,0.144,0.367,0.439,0.336,0.301,0.255,39,132,86.6,9.5,1959,88.1,87.43,74,266,296,-0.6999999999999886,5.79,113,154,117,149,300,323,298
555,666214,"Wentz, Joey",555,100,0.195,0.144,0.228,0.339,0.27,0.296,0.214,23,118,88.2,13.6,2254,87.7,87.41,55,252,303,-0.29999999999999716,6.2,108,155,116,146,300,329,292
554,669618,"Barlow, Joe",554,100,0.213,0.165,0.229,0.378,0.3,0.351,0.248,27,127,90.9,15.5,2314,89,88.53,74,272,282,-0.5,6,114,153,118,149,299,321,296
552,656794,"Newcomb, Sean",552,100,0.287,0.252,0.316,0.539,0.4,0.384,0.277,33,115,89.9,19,2479,90.6,82.66,47,225,327,-7.8999999999999915,5.73,110,151,118,151,301,323,291
551,607455,"Banda, Anthony",551,100,0.361,0.176,0.453,0.538,0.415,0.343,0.277,43,119,84.9,15,1955,90.1,89.88,55,262,289,-0.19999999999998863,6.22,108,153,117,149,301,322,297
546,545343,"Head, Louis",546,100,0.274,0.214,0.322,0.487,0.376,0.332,0.244,32,117,90.4,18.9,2393,87.2,86.62,60,256,290,-0.6000000000000085,6.16,106,153,122,149,299,316,293
540,643290,"Dunn, Justin",540,100,0.276,0.353,0.247,0.629,0.425,0.431,0.299,32,116,90.2,19.8,2277,87.2,75.79,49,223,317,-11.400000000000006,6.53,115,152,117,149,290,319,292
540,670970,"Morejon, Adrian",540,100,0.238,0.123,0.273,0.362,0.285,0.308,0.241,31,130,89.5,19.3,2455,92.9,93.15,70,292,248,0.19999999999998863,6.45,114,156,120,150,300,322,298
539,666204,"Jiménez, Dany",539,100,0.183,0.071,0.231,0.254,0.237,0.262,0.197,23,126,89.4,16.2,2304,86.5,85.77,79,226,313,-0.7000000000000028,5.78,110,151,117,147,298,317,294
536,647315,"Pop, Zach",536,100,0.272,0.079,0.315,0.351,0.287,0.286,0.256,41,151,87.9,0.8,2146,93.8,93.73,51,275,261,-0.09999999999999432,6.34,108,151,116,148,299,319,291
534,660730,"Rodriguez, Elvin",534,100,0.331,0.354,0.333,0.685,0.458,0.391,0.284,42,127,92.4,17.5,2386,88.4,88.65,40,237,297,0.19999999999998863,6.53,111,158,127,149,305,331,293
529,672391,"Ort, Kaleb",529,100,0.302,0.155,0.36,0.457,0.366,0.353,0.265,35,116,90.4,19.5,2225,92.4,91.9,73,255,273,-0.5,6.11,107,156,120,150,290,328,292
522,612434,"Castro, Miguel",522,100,0.243,0.144,0.321,0.387,0.333,0.339,0.252,27,111,88.3,11,2379,91.5,91.42,71,220,302,-0.09999999999999432,6.57,110,153,119,149,298,327,288
521,663432,"Rainey, Tanner",521,100,0.228,0.158,0.284,0.386,0.304,0.309,0.222,26,114,89.4,22.6,2408,94.4,94.25,92,272,249,-0.10000000000000853,6.41,114,155,120,145,304,321,301
514,621248,"Garza Jr., Ralph",514,100,0.284,0.142,0.301,0.425,0.347,0.361,0.293,38,134,86.7,10.5,2150,85,84.54,50,246,268,-0.5,6.14,108,160,117,150,301,322,294
511,642546,"Hernández, Jonathan",511,100,0.232,0.098,0.289,0.33,0.296,0.313,0.241,26,112,89.6,0.5,2328,92.5,92.42,69,228,283,-0.09999999999999432,6.29,111,151,117,146,298,319,294
503,670090,"Mills, Wyatt",503,100,0.243,0.112,0.305,0.355,0.309,0.324,0.252,26,107,84.5,13.1,2102,87.5,88.07,67,239,264,0.5999999999999943,6.75,111,155,120,146,299,324,294
501,681217,"Silseth, Chase",501,100,0.287,0.252,0.31,0.539,0.387,0.386,0.306,33,115,90.5,6.8,2118,89.5,88.74,58,226,275,-0.7999999999999972,5.91,114,152,114,155,296,320,292
495,669713,"Wesneski, Hayden",495,100,0.198,0.124,0.244,0.322,0.258,0.231,0.182,24,121,83.3,14.4,2242,88.1,88.61,65,253,242,0.5,6.69,111,154,118,150,301,321,293
493,502624,"Anderson, Chase",493,100,0.205,0.157,0.237,0.361,0.316,0.301,0.193,17,83,84.2,9.3,2239,87.3,86.74,49,219,274,-0.5999999999999943,5.9,113,154,123,148,293,318,292
488,605525,"Wendelken, J.B.",488,100,0.234,0.14,0.256,0.374,0.314,0.379,0.299,25,107,87.9,13.4,2335,91.2,90.82,50,225,263,-0.4000000000000057,6.19,108,150,120,146,303,322,297
487,519008,"McFarland, T.J.",487,100,0.323,0.169,0.336,0.492,0.38,0.374,0.312,42,130,92,3.5,1919,85.9,84.74,37,226,261,-1.2000000000000028,5.56,109,151,116,146,297,324,299
481,621295,"Wittgren, Nick",481,100,0.299,0.12,0.337,0.419,0.346,0.317,0.263,35,117,88,13.1,2043,87.9,88.81,39,227,254,0.8999999999999915,6.86,112,153,116,149,297,323,298
479,656464,"Ginkel, Kevin",479,100,0.243,0.09,0.321,0.333,0.29,0.266,0.21,27,111,89,8.6,2282,92.2,92.79,59,219,260,0.5999999999999943,6.75,109,152,121,148,298,321,295
474,663546,"Hjelle, Sean",474,100,0.311,0.113,0.4,0.425,0.349,0.318,0.267,33,106,89.5,3.3,1925,90.3,90.74,42,206,268,0.4000000000000057,6.6,107,152,117,148,301,326,295
474,592741,"Shreve, Chasen",474,100,0.262,0.194,0.304,0.456,0.336,0.34,0.263,27,103,89.5,14.9,1828,86,86.03,63,217,257,0,6.43,111,157,122,148,295,326,302
474,669160,"May, Dustin",474,100,0.194,0.102,0.237,0.296,0.284,0.298,0.214,21,108,86,4.3,2538,93.5,93.75,66,222,252,0.29999999999999716,6.5,114,157,121,149,294,316,296
472,675627,"Grove, Michael",472,100,0.26,0.203,0.28,0.463,0.335,0.275,0.217,32,123,90.4,16.2,2309,88.1,88.4,53,238,234,0.30000000000001137,6.48,113,157,116,149,298,316,296
