,PITCH,PITCHER,RELSPEED
141,CH,"Whitlock, Garrett",82.27105694444444
142,CH,"Widener, Taylor",86.60569088235295
143,CH,"Yarbrough, Ryan",78.29812369230768
144,CH,"Young, Alex",86.08172666666665
145,CH,"Zimmermann, Bruce",85.06742285714286
146,CH,"Zuber, Tyler",85.88796
147,CU,"Abreu, Albert",81.55469
148,CU,"Allard, Kolby",77.02792444444444
149,CU,"Andriese, Matt",80.35205571428571
150,CU,"Antone, Tejay",80.79904466666667
151,CU,"Barnes, Matt",85.53301098039216
152,CU,"Bassitt, Chris",73.05124666666667
153,CU,"Bauer, Trevor",80.50467952380953
154,CU,"Benjamin, Wes",79.29059444444445
155,CU,"Berrios, Jose",83.70401217391304
156,CU,"Brice, Austin",81.94778500000001
157,CU,"Buehler, Walker",80.72932449999999
158,CU,"Bumgarner, Madison",78.86382375
159,CU,"Burnes, Corbin",82.08329
160,CU,"Bush, Matt",79.92136
161,CU,"Cabrera, Asdrubal",70.2834
162,CU,"Cahill, Trevor",78.18146533333334
163,CU,"Castro, Anthony",84.136365
164,CU,"Cease, Dylan",76.92771625
165,CU,"Chatwood, Tyler",81.014965
166,CU,"Cishek, Steven",73.99268000000001
167,CU,"Clarke, Taylor",79.50939
168,CU,"Cobb, Alexander",82.99856
169,CU,"Cole, Gerrit",82.61440428571429
170,CU,"Crichton, Stefan",77.84730142857143
171,CU,"Crismatt, Nabil",70.4051525
172,CU,"Darvish, Yu",76.54091279069767
173,CU,"Davis, Wade",81.78347333333333
174,CU,"De Geus, Brett",82.09295142857142
175,CU,"De Leon, Jose",78.08504181818182
176,CU,"DeSclafani, Anthony",84.28499214285715
177,CU,"Devenski, Christopher",75.0903025
178,CU,"Duffey, Tyler",81.37871235294118
179,CU,"Dunning, Dane",79.668668
180,CU,"Eovaldi, Nathan",78.51327315789473
181,CU,"Flexen, Christopher",75.85894307692307
182,CU,"Foltynewicz, Mike",80.82388666666667
183,CU,"Fulmer, Carson",81.76585714285714
184,CU,"Gallen, Zac",80.83123214285715
185,CU,"Gibson, Kyle",79.28398
186,CU,"Glasnow, Tyler",83.82337206896551
187,CU,"Gomber, Austin",74.81012388888888
188,CU,"Gonzales, Marco",75.49424444444445
189,CU,"Gray, Jonathan",73.42267
190,CU,"Green, Chad",82.85837599999999
191,CU,"Guerra, Junior",81.66640500000001
192,CU,"Hernandez, Darwinzon",82.136565
193,CU,"Hill, Richard",73.03839385542169
194,CU,"Kela, Keone",82.00189152173914
195,CU,"Kelly, Merrill",81.79677357142857
196,CU,"Kennedy, Ian",79.68885499999999
197,CU,"Kershaw, Clayton",75.26874666666666
198,CU,"King, John",81.666445
199,CU,"Knebel, Corey",80.79163461538461
200,CU,"Kopech, Michael",79.54818
201,CU,"Kremer, Dean",75.97725176470588
202,CU,"LeBlanc, Wade",75.10061666666667
203,CU,"Lopez, Jorge",82.75566318181818
204,CU,"Luetge, Lucas",75.44668875
205,CU,"Lyles, Jordan",80.35372714285714
206,CU,"Maeda, Kenta",75.76425
207,CU,"Margevicius, Nicholas",70.4640225
208,CU,"Marshall, Evan",80.07748
209,CU,"Martin, Brett",81.67482333333334
210,CU,"Mathisen, Wyatt",51.96611
211,CU,"McClanahan, Shane",84.02436
212,CU,"McCullers, Lance",84.56464647058823
213,CU,"McHugh, Collin",74.609282
214,CU,"Melancon, Mark",82.34524499999999
215,CU,"Mercedes, Yermin",65.84451
216,CU,"Milone, Tommy",73.192999
217,CU,"Montgomery, Jordan",79.84611875
218,CU,"Morejon, Adrian",79.4174276923077
219,CU,"Nelson, Jimmy",85.233405
220,CU,"Newsome, Ljay",76.58117611111112
221,CU,"Ottavino, Adam",78.65276
222,CU,"Paddack, Chris",77.803775
223,CU,"Perez, Cionel",78.25915
224,CU,"Perez, Martin",78.5325881081081
225,CU,"Petit, Yusmeiro",74.18789
226,CU,"Phelps, David",81.73132818181818
227,CU,"Pivetta, Nick",79.31244875
228,CU,"Plutko, Adam",78.23463571428572
229,CU,"Pomeranz, Drew",84.46387041666667
230,CU,"Quintana, Jose",79.04322416666666
231,CU,"Richards, Garrett",80.04264315789474
232,CU,"Richards, Trevor",82.80119833333333
233,CU,"Roark, Tanner",73.31388187499999
234,CU,"Rodriguez, Christopher",84.06674555555554
235,CU,"Rogers, Taylor",81.83951
236,CU,"Ruiz, Jose",84.41012217391304
237,CU,"Ryu, Hyun-Jin",72.76170400000001
238,CU,"Sadler, Casey",79.32898071428572
239,CU,"Sanchez, Aaron",74.939525
240,CU,"Sborz, Josh",82.171335
241,CU,"Scrubb, Andre",81.50830555555555
242,CU,"Senzatela, Antonio",76.542565
243,CU,"Sims, Luke",80.38858
244,CU,"Smeltzer, Devin",72.99977
245,CU,"Smith, Caleb",78.649528
246,CU,"Smith, Riley",79.906955
247,CU,"Snell, Blake",78.43623276595744
248,CU,"Soria, Joakim",74.626025
249,CU,"Stammen, Craig",80.3185361111111
250,CU,"Stephenson, Robert",81.44923857142858
251,CU,"Taylor, Josh",79.10361
252,CU,"Thielbar, Caleb",71.20468666666666
253,CU,"Thornton, Trent",78.930442
254,CU,"Trivino, Lou",79.668205
255,CU,"Underwood Jr., Duane",78.65341
256,CU,"Wacha, Michael",76.42804000000001
257,CU,"Webb, Logan",83.26118916666667
258,CU,"Wells, Tyler",78.17482666666668
259,CU,"Whitlock, Garrett",78.97887
260,CU,"Yarbrough, Ryan",67.24613
261,CU,"Young, Alex",82.85612875
262,CU,"Zimmermann, Bruce",82.16588555555556
263,CU,"Zuber, Tyler",80.96498799999999
264,FA,"Abreu, Albert",98.738028
265,FA,"Adams, Austin",94.99845857142857
266,FA,"Alcala, Jorge",97.43175095238095
267,FA,"Allard, Kolby",91.92050918032787
268,FA,"Altavilla, Dan",96.31453300000001
269,FA,"Alvarez, Jose",91.30562
270,FA,"Andriese, Matt",92.28635826086956
271,FA,"Antone, Tejay",98.10382818181819
